Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
1982-01-20,0.0692359134554863,0.06966327017095526,0.0692359134554863,0.0692359134554863,25827200
1982-01-21,0.07051799446344376,0.07094534557316161,0.07051799446344376,0.07051799446344376,33331200
1982-01-22,0.07094532996416092,0.07137268668600968,0.07094532996416092,0.07094532996416092,24259200
1982-01-25,0.06880854070186615,0.069235891576133,0.06880854070186615,0.069235891576133,44710400
1982-01-26,0.06624443084001541,0.06709913845600916,0.06624443084001541,0.06709913845600916,21212800
1982-01-27,0.06667182594537735,0.06752653412736345,0.06667182594537735,0.06667182594537735,31360000
1982-01-28,0.06880854070186615,0.069235891576133,0.06880854070186615,0.06880854070186615,39603200
1982-01-29,0.06966326385736465,0.07009061482794851,0.06966326385736465,0.06966326385736465,53155200
1982-02-01,0.06880854070186615,0.06966324815655227,0.06880854070186615,0.06966324815655227,38528000
1982-02-02,0.0692359134554863,0.07009062118027,0.0692359134554863,0.0692359134554863,54275200
1982-02-03,0.0692359134554863,0.06966327017095526,0.0692359134554863,0.0692359134554863,31472000
1982-02-04,0.06752652674913406,0.06795388364651098,0.06752652674913406,0.06795388364651098,22041600
1982-02-05,0.06752652674913406,0.06795388364651098,0.06752652674913406,0.06752652674913406,40297600
1982-02-08,0.06325219571590424,0.06367954673169536,0.06325219571590424,0.06367954673169536,31696000
